Размер,Раздел,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Продавец,Oskelly ID,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT U,Женское,Аксессуары для сумок,HERMES PRE-OWNED,Кожа,Коричневый,Длинный ремень,Да,Новое с биркой,Частный продавец,2034222,182000,Kelly,,Да,
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Ткань,Коричневый,Длинный ремень,Да,Хорошее состояние,Частный продавец,2034684,206000,Herbag,Да,,
INT S,Женское,Сумки с короткими ручками,ULYANA SERGEENKO,Экзотическая кожа,Коричневый,Короткие ручки,Да,Отличное состояние,Частный продавец,1236458,333000,,,,
INT U,Женское,Сумки через плечо,TOM FORD,Кожа,Антрацит,Длинный ремень,,Отличное состояние,Частный продавец,1916673,58000,,,,
INT XS,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Длинный ремень,,Новое с биркой,Частный продавец,2032208,330000,Evelyne,,,
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,,Хорошее состояние,Частный продавец,2033972,1080000,Birkin,,,
INT M,Женское,Сумки с короткими ручками,ULYANA SERGEENKO,Экзотическая кожа,Белый,Короткие ручки,Да,Отличное состояние,Частный продавец,1344764,414000,,,,
INT M,Женское,Поясные сумки,BALENCIAGA,Ткань,Черный,Длинный ремень,,Отличное состояние,Частный продавец,1736096,47500,,,,
INT S,Женское,Сумки через плечо,GUCCI,Кожа,Розовый,Длинный ремень,Да,Новое с биркой,Частный продавец,2030723,130000,GG Marmont,,,
INT L,Женское,Сумки тоут,KENZO,Кожа,Белый,Средние ручки,,Новое с биркой,Частный продавец,1401467,22500,,,,
INT S,Женское,Сумки через плечо,OFF-WHITE,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,1797410,65000,,,,
INT S,Женское,Сумки с короткими ручками,rodo,Ткань,Черный,Короткие ручки,Да,Новое с биркой,Частный продавец,2022841,55000,,,Да,Да
INT U,Женское,Сумки через плечо,JACQUEMUS,Деним,Синий,Средние ручки,,Новое с биркой,Частный продавец,2033665,60000,Le Bisou,,,
INT S,Женское,Сумки через плечо,CHANEL PRE-OWNED,Лакированная кожа,Серый,Длинный ремень,,Отличное состояние,Частный продавец,2030883,180000,WOC,,,
INT M,Женское,Рюкзаки,PRADA,Другое,Черный,Короткие ручки,,Отличное состояние,Частный продавец,2031284,55000,,,,
INT S,Женское,Сумки через плечо,CHLOE,Кожа,Коралловый,Длинный ремень,Да,Отличное состояние,Частный продавец,2031452,80000,Marcie,,,Да
INT M,Женское,Рюкзаки,COACH,Кожа,Коричневый,Средние ручки,,Отличное состояние,Частный продавец,2031399,23000,,,,
INT S,Женское,Сумки через плечо,CELINE PRE-OWNED,Кожа,Оранжевый,Средние ручки,,Хорошее состояние,Частный продавец,2031389,46000,Trapeze,,,
INT L,Женское,Сумки через плечо,JIL SANDER,Кожа,Хаки,Длинный ремень,,Отличное состояние,Частный продавец,2030829,98000,,,,
INT M,Женское,Сумки тоут,DOLCE&GABBANA,Кожа,Черный,Длинный ремень,,Хорошее состояние,Частный продавец,2030826,68000,Sicily,,,
INT XS,Женское,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Другое,Длинный ремень,,Хорошее состояние,Частный продавец,2031477,250000,,,,
INT S,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Жаккард,Темно-синий,Длинный ремень,Да,Отличное состояние,Частный продавец,2031409,155000,30 Montaigne,,Да,
INT U,Женское,Клатчи и вечерние сумки,CHARLOTTE OLYMPIA,Другое,Бирюзовый,Короткие ручки,,Новое с биркой,Частный продавец,1926484,37000,,,,
INT S,Женское,Клатчи и вечерние сумки,ELISABETTA FRANCHI,Искусственная кожа,Бежевый,Короткие ручки,Да,Отличное состояние,Частный продавец,2030718,14000,,,,
INT M,Женское,Сумки через плечо,JACQUEMUS,Замша,Бежевый,Средние ручки,Да,Новое с биркой,Частный продавец,2032285,57000,Le Bambino,,,
INT M,Женское,Сумки через плечо,GUCCI,Кожа,Черный,Средние ручки,Да,Отличное состояние,Частный продавец,2031538,170000,GG Marmont,,Да,
INT S,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Фиолетовый,Короткие ручки,Да,Новое с биркой,Частный продавец,2030620,230000,Cassette,,,
INT S,Женское,Сумки через плечо,JACQUEMUS,Замша,Бежевый,Средние ручки,Да,Отличное состояние,Частный продавец,2032545,42000,Le Bambino,,,
INT M,Женское,Сумки тоут,M2MALLETIER,Кожа,Черный,Короткие ручки,,Хорошее состояние,Частный продавец,2030761,13500,,,,
INT M,Женское,Сумки через плечо,OFF-WHITE,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2033522,180000,,,,
